ID,start_year,group,focal,anr_year
26038973600,2010,1089,1,2014
6603515405,2001,1089,0,2005
12781023700,2009,109,1,2013
22033545600,2008,109,0,2012
26040622800,2009,1090,1,2013
10642285300,2006,1090,0,2010
26040715800,2012,1091,1,2016
7005278618,2003,1091,0,2007
26121395100,2012,1092,1,2016
12239488000,2006,1092,0,2010
26221158300,2009,1093,1,2013
10240372900,2005,1093,0,2009
26221222600,2010,1094,1,2014
7003531085,2006,1094,0,2010
26323831500,2009,1095,1,2013
12772976200,2010,1095,0,2014
26324194800,2009,1096,1,2013
12142883300,2010,1096,0,2014
26326244200,2012,1097,1,2016
6602128151,2009,1097,0,2013
26422903100,2007,1098,1,2011
23390381800,2008,1098,0,2012
26431341100,2009,1099,1,2013
24824109900,2007,1099,0,2011
10144524100,2009,11,1,2013
10040195000,2011,11,0,2015
12782091900,2012,110,1,2016
24498760000,2005,110,0,2009
26431662900,2010,1100,1,2014
23470094200,2005,1100,0,2009
26433833600,2009,1101,1,2013
7004501921,2006,1101,0,2010
26436362200,2012,1102,1,2016
6602507075,2001,1102,0,2005
26530905900,2010,1103,1,2014
10039859200,2006,1103,0,2010
26531429300,2011,1104,1,2015
6603752955,2002,1104,0,2006
26531607300,2006,1105,1,2010
6603033181,2010,1105,0,2014
26531708600,2011,1106,1,2015
14035171100,2004,1106,0,2008
26532210900,2009,1107,1,2013
6506756471,2007,1107,0,2011
26536155900,2006,1108,1,2010
10041939000,2009,1108,0,2013
26539055500,2012,1109,1,2016
14054631400,2008,1109,0,2012
12784051900,2011,111,1,2015
23397573900,2010,111,0,2014
26633894300,2012,1110,1,2016
56260319000,2011,1110,0,2015
26634191400,2010,1111,1,2014
6701537658,2007,1111,0,2011
26639616700,2007,1112,1,2011
7007163541,2001,1112,0,2005
26640198500,2012,1113,1,2016
7007060311,2003,1113,0,2007
26641853400,2007,1114,1,2011
14325291300,2000,1114,0,2004
26641909600,2010,1115,1,2014
7006366996,2004,1115,0,2008
26642343500,2012,1116,1,2016
24072763900,2006,1116,0,2010
26642616500,2010,1117,1,2014
35791566200,2008,1117,0,2012
26642887100,2006,1118,1,2010
7005702369,2003,1118,0,2007
26643127100,2006,1119,1,2010
7003922725,2011,1119,0,2015
12784789800,2009,112,1,2013
7005034885,2010,112,0,2014
26643210000,2007,1120,1,2011
57205008985,2004,1120,0,2008
26643210300,2011,1121,1,2015
7004860390,2004,1121,0,2008
26643248900,2008,1122,1,2012
7004309756,2005,1122,0,2009
26643253000,2007,1123,1,2011
10042102000,2007,1123,0,2011
26643262800,2006,1124,1,2010
6603354361,2010,1124,0,2014
26643268200,2011,1125,1,2015
55423049000,2011,1125,0,2015
26643299700,2009,1126,1,2013
7005329231,2011,1126,0,2015
26643351300,2008,1127,1,2012
23395899700,2009,1127,0,2013
26643421700,2007,1128,1,2011
7007082083,2009,1128,0,2013
26643433100,2010,1129,1,2014
7006343526,2009,1129,0,2013
12785850000,2009,113,1,2013
6507474297,2007,113,0,2011
26643517200,2012,1130,1,2016
56207914800,2011,1130,0,2015
26643724000,2011,1131,1,2015
7004116893,2001,1131,0,2005
26643754200,2011,1132,1,2015
10138791600,2009,1132,0,2013
26643838700,2010,1133,1,2014
18037044000,2006,1133,0,2010
26647796500,2010,1134,1,2014
7006092123,2008,1134,0,2012
26647966200,2012,1135,1,2016
26036937500,2003,1135,0,2007
26648125700,2009,1136,1,2013
7101777656,2003,1136,0,2007
26652511700,2006,1137,1,2010
7003311659,2005,1137,0,2009
26653588300,2010,1138,1,2014
12766864700,2009,1138,0,2013
26653774200,2012,1139,1,2016
16177084000,2011,1139,0,2015
12787863500,2012,114,1,2016
6505779889,2010,114,0,2014
26654698100,2006,1140,1,2010
12646726800,2007,1140,0,2011
26654833600,2011,1141,1,2015
7005238030,2008,1141,0,2012
26655418000,2006,1142,1,2010
7003502655,2006,1142,0,2010
26656061000,2011,1143,1,2015
24173622700,2009,1143,0,2013
26656109200,2011,1144,1,2015
55160084100,2008,1144,0,2012
26656143000,2006,1145,1,2010
10038940200,2006,1145,0,2010
26656500500,2007,1146,1,2011
6507837445,2007,1146,0,2011
26656570700,2007,1147,1,2011
27467536900,2011,1147,0,2015
26661835900,2006,1148,1,2010
56039394100,2003,1148,0,2007
26663280300,2011,1149,1,2015
7202217597,2010,1149,0,2014
12791005100,2009,115,1,2013
6602827488,2011,115,0,2015
26664606000,2012,1150,1,2016
26032822900,2009,1150,0,2013
26665558100,2006,1151,1,2010
23484505300,2006,1151,0,2010
26967560800,2010,1152,1,2014
23009617500,2008,1152,0,2012
26967714600,2008,1153,1,2012
24468291300,2009,1153,0,2013
26968142900,2008,1154,1,2012
12767483000,2009,1154,0,2013
27067473100,2010,1155,1,2014
10042939000,2006,1155,0,2010
27067523700,2009,1156,1,2013
26631793300,2011,1156,0,2015
27169581700,2012,1157,1,2016
10041735400,2011,1157,0,2015
27171732900,2007,1158,1,2011
10038800700,2011,1158,0,2015
27267476800,2011,1159,1,2015
55952178800,2004,1159,0,2008
12791845900,2008,116,1,2012
12240297000,2004,116,0,2008
27267821400,2011,1160,1,2015
6701475715,2004,1160,0,2008
27267860900,2009,1161,1,2013
35766864900,2010,1161,0,2014
27467753100,2009,1162,1,2013
26657187700,2005,1162,0,2009
27568174400,2010,1163,1,2014
6603759030,2003,1163,0,2007
27667714200,2010,1164,1,2014
6603460922,2010,1164,0,2014
27867550900,2010,1165,1,2014
8579891600,2010,1165,0,2014
27967979300,2009,1166,1,2013
10038940200,2008,1166,0,2012
28367859600,2012,1167,1,2016
7006678367,2005,1167,0,2009
28367864300,2012,1168,1,2016
14830028700,2009,1168,0,2013
29068047700,2010,1169,1,2014
14025176800,2011,1169,0,2015
12793307600,2007,117,1,2011
7004683218,2007,117,0,2011
29367508100,2007,1170,1,2011
55921949000,2007,1170,0,2011
29467620300,2009,1171,1,2013
13807381000,2011,1171,0,2015
30067772700,2008,1172,1,2012
6505770356,2002,1172,0,2006
30767881000,2011,1173,1,2015
57130576400,2005,1173,0,2009
31967936700,2009,1174,1,2013
10039669400,2004,1174,0,2008
32367593600,2009,1175,1,2013
8053718200,2010,1175,0,2014
32367815800,2010,1176,1,2014
56278849900,2011,1176,0,2015
32367840000,2006,1177,1,2010
36848564900,2008,1177,0,2012
33067598300,2008,1178,1,2012
55991967000,2011,1178,0,2015
33067603300,2008,1179,1,2012
