ID,end_year
12790140600,2001
57189072926,2016
27867811000,2015
55974660200,2015
16178095900,2007
31767729700,2016
42261460000,2016
7801490333,1998
7005730125,2008
36615299200,2010
36630293400,2018
55961075000,2018
8920845500,2014
56165207900,2005
25655625500,2014
25926681900,2013
7003768034,2011
24722993500,2007
7103138947,2018
7102555799,2016
6603480856,2017
56257600100,2013
57196247566,2017
55460736000,2008
7004632677,2017
36978855700,2008
56417168500,2015
9533160300,2006
57200071649,2017
35430042600,2017
16679222000,2018
35593811100,2008
54418970200,2012
56593116100,2016
55738721200,2010
55858603300,2013
7005980187,2006
57190300756,2018
23397629300,2011
57203094083,2015
7003376187,2014
7004874094,2014
12545635900,2015
14831456100,2007
15925154000,2006
8319802300,2010
15044954200,2015
7004417010,1992
35225421300,2009
6603212866,2018
36936266300,1997
24335475600,2017
36103964500,2014
23995705900,2016
56548968900,2018
6506951919,2016
6701690859,2018
55920453100,2013
56067237100,2002
6507907677,2018
54385715900,2011
57190573713,2018
52863956700,2008
6602748504,1995
55601764600,2016
55604303000,2014
7003711298,2005
56083293900,2017
6602553055,2017
8502955300,1995
56636695600,1996
7006495003,2009
6507429186,1998
8552286100,2014
55825941600,2016
6507601911,2010
57197890326,2002
6506341918,2001
24766142600,2008
8986539700,2010
45960893200,2002
6508225953,2004
7007072060,2005
6603780207,2005
13609644600,2013
24725214300,2010
44061145500,2012
57192914153,2001
15835646600,2017
57203216789,2018
7003645893,1998
57188748169,2016
14029656200,2015
6507778855,2012
6507249399,2001
55838084400,2017
14628445300,2002
55731374100,2010
57189090439,2015
7005337879,2017
56102203000,2015
24170805000,2018
26531594700,2015
6602293547,2018
7004091601,1999
35848858900,2017
16417168600,2007
56968037900,2015
35147655600,2011
6506921991,2014
8357416500,2005
9436849500,2016
25627283300,2014
56452559000,2018
7102625956,1994
57201172569,1999
36664812700,2013
57202889895,2018
57200501857,1999
57195685840,2018
57193573205,2016
57163047100,2018
36172704800,2017
57197554426,2016
57192384032,2018
35070019100,2018
7801415985,2018
26657137800,2018
57188725838,2015
57021574800,2018
57199066122,2014
57189257897,2002
57160175300,2016
55947284200,2004
6701774097,2015
56190106200,2015
36628123700,2018
55629643800,2011
7006119715,2001
55904512100,2014
57194278954,2017
56541162300,2013
26435136200,2016
7402136006,2015
56517715300,2018
35238939800,2016
19337532100,2017
23005317000,2012
36240772300,2018
54581450400,2011
55995655700,2018
8604666200,2017
7005676879,2010
57204251333,2016
6701754812,1997
6603723384,2006
6603539998,2002
57203204624,2018
8548822000,2016
26321761100,2013
7101782257,2014
37098567800,2011
56411920100,2017
16031600600,2018
56109985500,2013
6603838207,2013
7003680119,2000
56594481000,2015
57200783233,2005
56630223900,2011
23011698200,2018
35617415500,2018
15042854400,2006
26430482000,2018
6603646692,2015
55803668500,2015
22333878000,2004
56031467700,2015
6603421658,2003
36473088400,2016
9245337700,2018
7005382308,1999
8717735800,2012
23396074500,2018
8286910100,2005
7004674188,2018
56389400700,2018
37091242100,2007
7101820325,2016
55438117400,2018
52063624000,2014
57195940191,2018
16642938700,2018
35965781000,2015
25655229400,2015
55554012200,2018
12784775300,2018
6602104029,2018
7003975999,2018
57206736873,2018
36149156600,2010
55346238800,2018
55912445100,2007
9740828000,2009
6506431527,2011
16635523100,2005
57188752250,2018
6506405382,2009
57196716304,2010
16414784000,1994
8210164900,2014
55336597100,2015
56365321500,2016
55903287600,2013
55507392400,2018
13609694400,2018
6507103256,1997
55879881900,2011
6506690233,1996
57188829558,2002
23990008400,2018
7102577004,2005
57198820650,2017
57188733509,2016
7005877653,2015
36782061800,2010
56641408700,2009
20436676300,2011
6603583180,2002
54397760400,2014
7102700826,2013
6602567419,2002
52364876700,2016
55878947500,2018
57193652514,2018
6602451297,1998
55888724800,2017
55900690200,2016
14821793100,2017
7003663098,2016
13104887800,2010
22940989000,2007
23989107600,2014
35424413500,2018
21643449200,2000
12242450800,2016
55440311600,2015
56747980200,2018
14018246700,2008
57196302792,2009
35253987700,2013
6602795654,2003
6604021227,2012
36060113200,2013
8937681800,2016
57197695978,2010
6506656144,2001
56639282800,2015
57197368654,2011
6505874048,2005
6504377321,1993
6602331414,2010
55665563600,2018
24922890200,2009
57196194669,2017
36816589200,2010
26644135200,2012
56257263600,2018
55949428900,2015
6602775044,2000
7004022711,2013
13607175900,2007
7410389613,2018
18041833800,2016
6701834930,2017
6507025980,2005
8837828900,2018
6701530007,2011
55989810400,2009
6602777491,2011
55617584700,2010
57195504582,2017
6701414652,2001
35579517100,2018
26031071400,2012
55973076900,2016
57194144148,2018
36115275500,2009
7003680929,2017
55436580800,2018
55053435400,2016
36679991000,2013
13104737800,2008
56175534000,2009
55831215500,2013
56735634200,2015
7202920765,2018
36963279100,1996
57190798269,2014
8620148200,2018
55761197000,2013
6602899821,2003
6506330966,2017
54987307300,2017
14035100800,2018
7102447001,2017
57203964565,2018
8700956700,2018
56369577300,2014
6504010163,2018
6506116372,2015
6508304627,2004
23006340400,2007
56307908100,2006
26430697600,2012
24484862400,2009
56323460100,2018
57188671611,2016
6701597437,2004
6506380271,2018
7005810184,2014
37061485200,2017
57192593045,2016
37015515400,2013
55949278200,2011
16032874200,2018
47061781200,2011
7006376498,2018
35446002900,2002
16471446000,1994
55976264400,2018
6603046252,2013
56203572900,2015
6701769322,2010
37120574600,2016
35168696400,2010
54781272800,2018
6506564716,2016
21743369000,2018
55813908400,2003
56463148700,2014
55937054700,2017
57202308622,2018
57201120477,2017
35226710600,2012
57193510529,2017
36026187100,2018
23501064100,2018
57202293265,2018
24329996300,2012
36150748300,2013
7101988086,1997
26664442500,2015
57200165239,2018
18039116600,2016
7102700855,2014
57190001162,2018
7004654275,2007
56822668900,2015
35914975100,2004
22985083500,2018
57200630510,2017
7401653270,2017
55929318800,2018
55307433500,2006
6602627252,2004
56562922100,2004
36604994100,2012
7801589808,2014
7102655467,2000
7801627219,2007
57199212073,2017
6506175112,2018
57188966321,2015
6506241105,1997
57197111302,2005
6603551671,2014
34870116100,2016
35101799900,2013
6507070163,2001
6602977367,2003
16176209200,2016
7005170650,2017
55926212600,2013
35146083500,2009
8972649800,2012
