"","auth.id","start_year","group","focal","anr_year"
"160","35109720500",2011,"107",0,2015
"161","25936911500",2006,"1070",1,2010
"162","36881656400",2006,"1070",0,2010
"163","25947329700",2006,"1071",1,2010
"164","7003639596",2011,"1071",0,2015
"165","25959035400",2008,"1072",1,2012
"166","15763251500",2007,"1072",0,2011
"167","26021336900",2006,"1073",1,2010
"168","6506192430",2004,"1073",0,2008
"169","26021429900",2007,"1074",1,2011
"170","10039198500",2005,"1074",0,2009
"171","26025585900",2009,"1075",1,2013
"172","55342146500",2005,"1075",0,2009
"173","26025587600",2010,"1076",1,2014
"174","15756605100",2005,"1076",0,2009
"175","26026682500",2011,"1077",1,2015
"176","7004830753",2004,"1077",0,2008
"177","26029311400",2009,"1078",1,2013
"178","7004880357",2009,"1078",0,2013
"179","26031912400",2009,"1079",1,2013
"180","6507637156",2009,"1079",0,2013
"181","12780649300",2007,"108",1,2011
"182","23111358700",2007,"108",0,2011
"183","26032317900",2009,"1080",1,2013
"184","56455080400",2009,"1080",0,2013
"185","26032998900",2009,"1081",1,2013
"186","6602526004",2008,"1081",0,2012
"187","26033433200",2007,"1082",1,2011
"188","11241574900",2011,"1082",0,2015
"189","26033763000",2012,"1083",1,2016
"190","11439121200",2011,"1083",0,2015
"191","26033807900",2008,"1084",1,2012
"192","16031408000",2006,"1084",0,2010
"193","26034485700",2008,"1085",1,2012
"194","10039066300",2008,"1085",0,2012
"195","26034721000",2007,"1086",1,2011
"196","8378940200",2011,"1086",0,2015
"197","26037008700",2009,"1087",1,2013
"198","56224109600",2009,"1087",0,2013
"199","26038258100",2010,"1088",1,2014
"200","11441016900",2009,"1088",0,2013
"201","26038973600",2010,"1089",1,2014
"202","6603515405",2001,"1089",0,2005
"203","12781023700",2009,"109",1,2013
"204","22033545600",2008,"109",0,2012
"205","26040622800",2009,"1090",1,2013
"206","10642285300",2006,"1090",0,2010
"207","26040715800",2012,"1091",1,2016
"208","7005278618",2003,"1091",0,2007
"209","26121395100",2012,"1092",1,2016
"210","12239488000",2006,"1092",0,2010
"211","26221158300",2009,"1093",1,2013
"212","10240372900",2005,"1093",0,2009
"213","26221222600",2010,"1094",1,2014
"214","7003531085",2006,"1094",0,2010
"215","26323831500",2009,"1095",1,2013
"216","12772976200",2010,"1095",0,2014
"217","26324194800",2009,"1096",1,2013
"218","12142883300",2010,"1096",0,2014
"219","26326244200",2012,"1097",1,2016
"220","6602128151",2009,"1097",0,2013
"221","26422903100",2007,"1098",1,2011
"222","23390381800",2008,"1098",0,2012
"223","26431341100",2009,"1099",1,2013
"224","24824109900",2007,"1099",0,2011
"225","10144524100",2009,"11",1,2013
"226","10040195000",2011,"11",0,2015
"227","12782091900",2012,"110",1,2016
"228","24498760000",2005,"110",0,2009
"229","26431662900",2010,"1100",1,2014
"230","23470094200",2005,"1100",0,2009
"231","26433833600",2009,"1101",1,2013
"232","7004501921",2006,"1101",0,2010
"233","26436362200",2012,"1102",1,2016
"234","6602507075",2001,"1102",0,2005
"235","26530905900",2010,"1103",1,2014
"236","10039859200",2006,"1103",0,2010
"237","26531429300",2011,"1104",1,2015
"238","6603752955",2002,"1104",0,2006
"239","26531607300",2006,"1105",1,2010
"240","6603033181",2010,"1105",0,2014
"241","26531708600",2011,"1106",1,2015
"242","14035171100",2004,"1106",0,2008
"243","26532210900",2009,"1107",1,2013
"244","6506756471",2007,"1107",0,2011
"245","26536155900",2006,"1108",1,2010
"246","10041939000",2009,"1108",0,2013
"247","26539055500",2012,"1109",1,2016
"248","14054631400",2008,"1109",0,2012
"249","12784051900",2011,"111",1,2015
"250","23397573900",2010,"111",0,2014
"251","26633894300",2012,"1110",1,2016
"252","56260319000",2011,"1110",0,2015
"253","26634191400",2010,"1111",1,2014
"254","6701537658",2007,"1111",0,2011
"255","26639616700",2007,"1112",1,2011
"256","7007163541",2001,"1112",0,2005
"257","26640198500",2012,"1113",1,2016
"258","7007060311",2003,"1113",0,2007
"259","26641853400",2007,"1114",1,2011
"260","14325291300",2000,"1114",0,2004
"261","26641909600",2010,"1115",1,2014
"262","7006366996",2004,"1115",0,2008
"263","26642343500",2012,"1116",1,2016
"264","24072763900",2006,"1116",0,2010
"265","26642616500",2010,"1117",1,2014
"266","35791566200",2008,"1117",0,2012
"267","26642887100",2006,"1118",1,2010
"268","7005702369",2003,"1118",0,2007
"269","26643127100",2006,"1119",1,2010
"270","7003922725",2011,"1119",0,2015
"271","12784789800",2009,"112",1,2013
"272","7005034885",2010,"112",0,2014
"273","26643210000",2007,"1120",1,2011
"274","57205008985",2004,"1120",0,2008
"275","26643210300",2011,"1121",1,2015
"276","7004860390",2004,"1121",0,2008
"277","26643248900",2008,"1122",1,2012
"278","7004309756",2005,"1122",0,2009
"279","26643253000",2007,"1123",1,2011
"280","10042102000",2007,"1123",0,2011
"281","26643262800",2006,"1124",1,2010
"282","6603354361",2010,"1124",0,2014
"283","26643268200",2011,"1125",1,2015
"284","55423049000",2011,"1125",0,2015
"285","26643299700",2009,"1126",1,2013
"286","7005329231",2011,"1126",0,2015
"287","26643351300",2008,"1127",1,2012
"288","23395899700",2009,"1127",0,2013
"289","26643421700",2007,"1128",1,2011
"290","7007082083",2009,"1128",0,2013
"291","26643433100",2010,"1129",1,2014
"292","7006343526",2009,"1129",0,2013
"293","12785850000",2009,"113",1,2013
"294","6507474297",2007,"113",0,2011
"295","26643517200",2012,"1130",1,2016
"296","56207914800",2011,"1130",0,2015
"297","26643724000",2011,"1131",1,2015
"298","7004116893",2001,"1131",0,2005
"299","26643754200",2011,"1132",1,2015
"300","10138791600",2009,"1132",0,2013
"301","26643838700",2010,"1133",1,2014
"302","18037044000",2006,"1133",0,2010
"303","26647796500",2010,"1134",1,2014
"304","7006092123",2008,"1134",0,2012
"305","26647966200",2012,"1135",1,2016
"306","26036937500",2003,"1135",0,2007
"307","26648125700",2009,"1136",1,2013
"308","7101777656",2003,"1136",0,2007
"309","26652511700",2006,"1137",1,2010
"310","7003311659",2005,"1137",0,2009
"311","26653588300",2010,"1138",1,2014
"312","12766864700",2009,"1138",0,2013
"313","26653774200",2012,"1139",1,2016
"314","16177084000",2011,"1139",0,2015
"315","12787863500",2012,"114",1,2016
