,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
76,24385566800,1069,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,2008
78,6506192430,1073,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2001
79,7004830753,1077,0,2008,2,2,4,6,10,14,17,18,19,23,27,33,39,40,43,48,51,51,57,59,60,67,73,80,80,81,82,82,86,1990
81,7004880357,1078,0,2013,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1990
83,8378940200,1086,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,5,7,2004
84,22033545600,109,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,14,17,17,17,2010
86,12772976200,1095,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2009
87,6602128151,1097,0,2013,0,0,0,0,0,0,0,2,5,10,10,11,11,15,15,18,30,32,34,34,51,53,64,69,75,75,75,81,82,1998
88,23390381800,1098,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,7,9,15,16,17,17,17,17,17,17,2005
89,7004501921,1101,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2002
91,10039859200,1103,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
93,6603752955,1104,0,2006,0,0,0,0,0,0,0,8,19,19,26,26,36,40,46,63,70,71,82,86,86,86,86,86,86,86,86,86,86,1990
96,6506756471,1107,0,2011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,8,18,18,21,21,21,1997
97,23397573900,111,0,2014,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,5,5,7,10,10,11,14,19,44,44,44,44,1997
101,7006366996,1115,0,2008,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1995
107,23395899700,1127,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,21,29,42,43,59,71,86,109,116,125,137,2003
109,56207914800,1130,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,24,24,24,24,24,24,26,26,26,26,26,1990
112,18037044000,1133,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,9,9,13,13,15,18,19,19,22,23,2005
114,12766864700,1138,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
117,7005238030,1141,0,2012,0,0,0,0,0,0,0,0,0,0,3,5,7,7,8,8,8,10,10,12,13,16,16,21,21,21,35,37,37,1992
120,56039394100,1148,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,12,12,12,16,16,16,2003
121,12240297000,116,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
123,6701475715,1160,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,17,17,17,17,17,17,17,20,20,20,20,20,1993
125,6603759030,1163,0,2007,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,1996
127,7006678367,1167,0,2009,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1990
129,7004683218,117,0,2011,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,8,8,11,11,17,19,22,26,32,32,32,32,32,1990
131,55921949000,1170,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,18,29,36,36,36,42,42,46,46,1996
132,57130576400,1173,0,2009,0,0,0,0,0,3,3,4,4,6,8,8,11,11,11,11,13,13,13,13,13,13,13,16,16,20,20,20,20,1995
135,57016428700,118,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,16,22,26,26,44,1990
137,23391929500,1181,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,18,18,18,22,25,25,26,26,26,26,28,2003
139,8891071900,1184,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,10,12,16,31,31,46,50,52,54,56,59,60,63,2002
141,7004322541,1185,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,1990
143,24293855000,1188,0,2008,0,0,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,2000
145,6603869620,1189,0,2014,1,1,1,3,3,3,3,3,3,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1990
149,8716932100,1193,0,2006,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,9,11,14,15,19,21,24,27,30,30,31,31,31,2000
152,7003454900,1196,0,2010,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,8,8,8,9,9,9,13,13,13,13,13,1992
154,35227084600,120,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2010
155,7006810666,1200,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
157,6603887020,1201,0,2006,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,5,6,8,12,12,22,27,47,53,60,69,84,96,2000
159,6507715145,1205,0,2008,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,5,11,11,14,16,25,26,30,34,53,2002
161,14030235900,1206,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,2005
166,24479823300,1210,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,2002
168,55791277000,1212,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,7,17,22,22,2013
170,6603066224,1213,0,2013,0,0,0,1,1,6,6,6,6,6,6,7,7,7,7,10,13,15,20,21,21,21,21,23,24,24,24,24,24,1993
172,7006205089,1214,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,11,11,11,11,2008
174,56627703100,1215,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,8,13,21,21,21,21,26,27,30,31,39,2005
176,10144733900,1216,0,2008,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2003
181,15834792500,1225,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
183,6603631865,1226,0,2009,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
185,37091242100,1228,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,1991
187,6507840103,123,0,2010,0,0,0,8,8,8,8,8,8,8,8,10,10,11,11,11,19,22,23,24,24,27,27,27,27,28,28,28,28,1993
189,35090219300,1230,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,8,8,22,24,24,24,24,2009
193,6701761476,1235,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,8,12,21,21,23,23,23,23,23,26,26,26,26,26,1990
195,6602327990,1236,0,2011,0,0,0,3,3,4,4,4,4,8,13,13,14,16,16,16,16,16,19,21,23,26,27,33,34,38,47,47,52,1993
197,56023809600,1238,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,2002
199,7403460178,124,0,2008,0,0,0,0,0,0,3,5,8,12,12,13,18,19,24,24,24,26,29,33,38,43,43,45,45,50,50,50,50,1996
201,12759869300,1240,0,2007,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
203,6602634988,1241,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1996
205,6701668267,1242,0,2013,0,1,3,4,7,7,9,9,14,18,21,25,33,33,39,42,61,90,107,115,132,151,159,180,194,206,214,238,251,1992
207,6603149863,1243,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,7,7,7,7,1992
210,6603954265,1249,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,13,13,18,18,20,20,20,21,1996
212,6603215020,125,0,2013,0,0,0,2,2,2,2,2,2,5,5,5,7,9,11,11,13,13,22,26,28,35,42,51,58,67,72,77,78,1993
214,6602860081,1250,0,2010,0,0,0,0,0,0,0,0,0,2,2,6,6,7,23,23,23,23,28,35,36,38,42,44,49,49,59,59,59,1998
217,7003444714,1253,0,2009,0,0,0,0,0,0,0,0,12,12,22,22,31,31,52,52,52,52,120,127,127,127,127,127,127,137,137,137,143,1990
218,6602826094,1254,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,5,5,5,5,1995
220,55249883700,1256,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,18,18,18,18,2006
222,7201489446,1257,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1990
224,7005955587,1260,0,2014,0,0,0,0,0,0,0,0,4,8,9,11,11,11,11,12,21,29,40,40,42,54,98,105,105,115,129,138,162,1994
226,24328865000,1262,0,2015,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,8,8,8,8,8,11,13,13,14,14,14,1997
227,6506746084,1263,0,2010,0,0,0,0,0,0,0,0,0,0,0,8,10,18,20,36,38,51,58,75,91,97,105,153,167,182,195,232,309,2001
229,56208817600,1266,0,2014,0,0,0,0,0,0,0,0,3,6,7,8,9,11,12,14,17,18,20,22,22,29,34,34,35,38,41,45,45,1992
232,57202311057,127,0,2012,0,0,0,0,0,0,0,0,0,0,3,3,3,3,25,25,25,30,34,37,45,45,54,55,55,55,68,68,72,1996
234,10241248300,1273,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,1999
237,56264174000,1280,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,5,6,6,6,6,9,2005
239,35303516100,1282,0,2009,0,0,0,2,2,3,3,6,9,9,9,13,16,19,21,23,24,27,28,28,29,29,29,35,36,37,41,41,42,1993
241,7005353464,1284,0,2014,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,41,41,41,41,54,54,55,55,75,77,86,87,87,89,1993
242,7004167402,1286,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1990
245,55887276800,129,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,1997
247,8898983400,1290,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,1993
248,55404455200,1292,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,7,9,9,9,9,13,15,22,30,33,34,34,2006
250,6506762831,1294,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,41,41,41,41,41,41,41,41,41,41,41,2000
