,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
1503,24171925200,2882,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,15,17,17,2004
1507,7101727292,289,0,2015,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1990
1508,6602568684,2890,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,12,18,25,27,28,38,1998
1510,7003639913,2892,0,2015,0,0,0,0,0,2,2,2,2,2,6,8,8,8,10,10,10,10,12,12,15,16,18,18,19,19,19,19,20,1995
1517,6603865244,2901,0,2007,0,0,0,0,0,4,4,4,5,5,9,14,14,14,14,18,21,22,29,30,33,34,38,58,71,72,76,76,77,1991
1520,6701366879,2909,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,7,7,7,7,7,7,7,7,10,10,1995
1522,57193304887,291,0,2012,0,0,0,0,0,0,1,1,3,5,10,11,13,21,22,23,25,25,28,28,28,36,40,42,43,43,47,49,51,1996
1524,35368634600,2911,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,2008
1525,35267945300,2913,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,7,7,7,7,7,7,7,8,8,8,12,12,15,2000
1526,26643004300,2914,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,1990
1528,6508122241,2915,0,2010,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,2001
1529,7006076726,292,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,34,38,38,41,41,1991
1531,7003561749,2922,0,2006,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1990
1533,6506539264,2923,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,38,38,38,38,38,38,38,38,38,40,40,2001
1536,6507881785,2925,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,10,20,24,35,35,36,37,40,1997
1541,6504170949,2930,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,8,8,8,8,8,2006
1543,6603340862,2934,0,2014,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1995
1545,8327914000,2935,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2004
1547,15136327000,2936,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,11,13,15,17,17,22,27,33,36,38,2005
1548,7101854015,2937,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,30,30,30,30,1991
1549,6601912909,2938,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,10,10,17,21,23,23,28,28,28,29,33,1995
1551,6603893706,2939,0,2005,0,0,0,0,0,0,5,5,5,6,7,7,7,7,11,14,15,19,23,31,38,38,47,54,61,64,74,75,81,1995
1553,7102904328,2940,0,2007,0,0,0,0,0,0,0,22,22,30,30,30,43,43,46,47,53,61,66,66,75,75,81,81,89,114,116,116,133,1993
1556,56009651000,2944,0,2010,0,0,2,2,2,2,4,7,7,10,10,15,17,18,21,25,33,35,36,42,43,43,43,43,43,43,43,43,43,2000
1561,7102424731,2953,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,10,10,10,18,18,1995
1563,6603629918,2955,0,2009,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1992
1565,24279337200,2956,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,14,19,19,19,33,33,33,37,37,2004
1566,6603739317,2957,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,1994
1567,55662855000,2958,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,29,29,29,79,79,136,136,147,1995
1569,7202612240,2960,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,30,30,30,30,1990
1570,16400523000,2962,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2010
1573,15122837200,2964,0,2012,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,6,8,8,9,23,26,27,28,40,47,58,58,62,2000
1574,24802383000,2965,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,14,17,21,32,41,47,48,48,57,59,61,2004
1576,15073752300,2966,0,2005,0,0,0,0,0,0,1,2,2,2,2,6,8,8,13,18,25,29,34,42,44,54,65,94,120,144,156,168,181,1996
1577,6603094992,2967,0,2010,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,7,10,10,18,19,20,32,43,50,50,59,59,59,59,2001
1579,15065864800,2968,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,11,19,33,33,38,38,38,38,38,2006
1581,6506587830,2969,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,1990
1583,55993117600,2976,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,11,11,11,11,11,11,2002
1584,8448821700,2977,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,12,12,13,14,19,21,25,2009
1585,7003508096,298,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1990
1587,53866152500,2981,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1589,7004427171,2986,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,6,6,6,6,6,6,6,6,6,6,1990
1591,6701630433,2987,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,1995
1594,14828565600,299,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2000
1595,6602301507,2994,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,1993
1602,8698697600,300,0,2014,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,7,10,17,17,25,27,30,30,30,30,33,2000
1603,6602629520,3000,0,2008,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,8,8,13,17,17,17,19,26,26,26,26,29,1997
1608,24802263400,3006,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,1999
1610,55149792200,3008,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
1613,8531092400,3010,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,11,11,11,16,19,27,28,29,30,30,30,30,35,2003
1615,6602571575,3014,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,13,13,13,13,13,13,1994
1616,7004480510,3015,0,2011,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1992
1618,6602539958,3018,0,2009,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,6,6,10,10,10,13,13,13,13,13,13,13,13,2000
1620,6603540603,3021,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,6,6,1999
1623,56118163800,3024,0,2011,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1990
1624,7004198347,3027,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2004
1625,6602401441,3028,0,2007,0,0,0,2,2,2,4,4,4,4,5,5,5,17,19,22,25,26,28,28,28,28,28,28,28,28,28,28,28,1993
1627,8852472000,3030,0,2013,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,10,11,12,20,22,28,28,31,31,37,37,37,40,2001
1629,35725875000,3035,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,31,31,31,31,31,2008
1632,6603248672,304,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,9,9,18,19,20,21,29,29,38,44,44,1999
1634,7003443071,3040,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,1990
1636,7102886198,3041,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,10,10,10,10,10,10,10,10,10,10,10,2002
1637,7006718574,3043,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,7,7,7,7,2002
1638,6507091668,3046,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,7,10,14,14,14,14,1996
1641,16645727300,3048,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8,8,8,8,8,8,8,2005
1644,6603069255,3050,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1997
1645,54401634200,3051,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2009
1646,15119001500,3052,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2003
1648,6602872007,3053,0,2006,0,3,3,3,3,7,7,9,10,10,12,13,13,15,15,21,22,22,27,28,28,32,32,35,35,40,40,40,40,1991
1650,35241679100,3058,0,2014,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,16,16,30,30,105,105,105,105,105,1996
1651,10144930400,3059,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
1653,7003276566,306,0,2014,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1996
1655,6603233123,3061,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,1999
1657,7102171992,3063,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,46,46,46,2002
1659,7004016179,3065,0,2013,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,7,8,8,8,8,8,8,8,8,8,1992
1660,10939331100,3066,0,2009,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,6,6,6,6,6,1998
1663,6603595744,307,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,1990
1664,55882066600,3070,0,2015,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1990
1666,7006330022,3071,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,1999
1668,24484525100,3073,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,7,10,10,10,10,27,27,27,27,27,27,2005
1671,7003400734,3075,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,17,17,23,23,23,23,23,23,1991
1675,6701393086,308,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,15,15,15,20,20,24,27,27,27,31,1998
1677,6602090324,3081,0,2009,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,11,26,26,26,29,29,29,29,29,29,29,29,33,1991
1679,56042971200,3082,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1998
1680,6701690396,3084,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,1992
1682,6507935023,3088,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,9,9,9,9,9,9,9,9,2005
1683,7004410971,3089,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1991
1685,7003898783,3091,0,2010,14,14,14,14,14,14,14,14,14,14,19,19,24,27,28,49,49,53,57,63,67,67,75,79,92,92,92,92,92,1990
1686,7005446353,3096,0,2011,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1990
1687,6602845544,3097,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,10,10,10,10,10,10,10,16,16,16,16,16,1992
1688,52464237600,3098,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,23,23,23,23,23,23,23,23,23,25,25,25,1999
1689,55899110600,3100,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,1998
1692,7005096985,3102,0,2007,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,6,7,7,10,10,20,20,20,23,28,29,29,31,34,1993
1695,55855475700,3108,0,2014,0,0,0,2,2,2,3,3,9,9,13,21,24,24,24,24,24,24,24,24,24,26,26,28,28,28,28,28,28,1993
1697,6506876493,3110,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,2002
1699,14120299300,3112,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,6,6,9,9,9,17,17,20,1998
1700,7006526113,3113,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,20,25,26,26,26,30,30,30,30,30,2001
1702,57203051832,3114,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,2010
1703,14420864600,3115,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,15,25,25,25,25,25,2009
1704,6603910941,3116,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,6,6,6,6,9,1991
1706,34771238600,3118,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6,9,9,12,2008
1707,8704688000,3121,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2003
1709,6701823660,3125,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
1714,7006428450,3130,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,5,5,5,8,8,8,8,2004
1715,23991003200,3132,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2008
1716,9733846500,3133,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,12,12,13,13,15,25,25,25,25,25,25,25,25,2004
1719,18133907600,3137,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22,22,22,22,2003
1720,8728901300,3140,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,24,24,24,24,24,24,24,24,24,24,24,1999
1722,15131099400,3143,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,7,7,9,9,22,22,22,22,22,22,2003
1723,6701659747,3148,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,8,8,8,2008
1725,6603329107,3149,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1993
1735,7003480671,3165,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,9,11,12,14,14,14,14,15,16,16,16,19,1997
1737,7004408280,3166,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,35,35,35,35,2000
1738,6507694912,3169,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2001
1741,23102077300,3174,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,17,17,17,17,17,17,17,17,17,2005
1742,10040494500,3175,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2004
1743,55650486100,3176,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1990
1744,6602295998,3178,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
1746,15725619900,318,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,5,5,5,8,12,14,14,17,2006
1751,6504557335,3189,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,2003
1753,6603946201,3191,0,2010,0,0,0,0,0,0,2,5,5,5,6,8,9,10,11,13,14,15,16,16,16,16,16,16,20,20,20,20,20,1993
1754,12795837200,3192,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2004
1756,7004781663,3194,0,2013,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1996
1758,12140888100,3196,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,11,11,11,11,11,11,11,11,2005
1760,6603773632,3198,0,2013,0,0,0,0,0,0,0,0,0,0,0,12,12,17,30,41,48,48,54,57,64,72,74,81,85,96,99,99,103,1998
1763,23569186100,32,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,35,35,35,35,35,35,47,47,47,2002
1764,7003615036,320,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,6,6,1996
1766,6603807230,3200,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,20,33,33,33,33,33,33,33,33,33,1993
1768,7003323974,3202,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
1769,12766401600,3204,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,8,10,10,10,10,2005
1771,23569186100,3205,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,35,35,35,35,35,35,47,47,47,2002
1772,23388641700,3206,0,2013,0,0,0,0,0,0,0,0,0,2,3,4,4,6,6,7,9,10,10,14,14,14,14,16,18,18,23,24,24,1999
1773,24319450100,3207,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,1990
1775,24333752900,3208,0,2008,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,4,4,9,9,9,9,9,9,9,1998
1777,7005852933,3212,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,2005
1779,6603928550,3216,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,1995
1781,7102173056,3218,0,2006,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,8,8,8,12,14,14,14,14,15,15,15,15,19,23,1992
1782,55913313000,3219,0,2009,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,7,10,14,16,17,18,18,27,27,30,30,30,2001
1785,7004898383,3220,0,2015,2,4,4,4,4,4,4,5,5,5,5,8,8,11,16,18,31,41,51,57,64,66,66,74,81,81,81,81,81,1990
1787,7005458403,3221,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1990
1788,6603912739,3222,0,2005,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,1990
1789,7004325009,3223,0,2015,0,0,0,0,0,4,4,4,4,7,7,7,11,12,12,22,23,26,26,28,28,28,28,30,30,31,31,31,31,1991
1790,7003452681,3225,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,12,12,1995
1791,18437144500,3228,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,9,9,14,17,17,17,17,17,17,2002
1793,57062143400,323,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,35,35,35,35,35,2002
1794,36008941800,3230,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10,10,10,12,14,1990
1798,7007150732,3234,0,2011,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,104,104,108,108,125,125,130,130,130,130,130,1996
1799,14025554900,3235,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,9,9,9,9,9,9,9,9,2002
1800,6603847248,3236,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,7,7,7,7,1993
1802,6701695724,3237,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1998
1803,7006073680,3238,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1991
1806,7003887864,3240,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,22,22,22,27,27,27,27,27,27,27,27,27,1991
1808,16302905500,3241,0,2015,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,5,9,11,11,12,12,16,21,23,26,29,1999
1810,6602756724,3242,0,2009,0,0,0,0,0,0,0,0,0,0,7,7,7,7,9,9,9,9,13,13,13,13,13,13,13,13,13,13,20,1999
1815,6603126488,3248,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,6,6,6,6,6,9,1998
1817,14018910800,3250,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,2005
1820,7003988222,3257,0,2005,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,1992
1823,7202123241,3259,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,10,17,22,24,28,28,29,29,29,29,29,29,29,2003
1825,22937188200,326,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,10,11,11,11,11,11,11,11,11,2005
1827,55894704500,3260,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,6,7,10,11,13,14,14,14,14,14,2003
1829,35591630900,3261,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,46,46,46,54,54,54,54,54,54,2002
1831,7003467672,3263,0,2014,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1997
1835,55099097000,3266,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,10,10,16,37,37,40,1991
1836,23027343700,3267,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2006
1837,7003623979,3268,0,2007,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,9,12,19,22,24,26,28,29,32,33,35,35,37,1998
1838,8847303300,3270,0,2014,0,0,1,1,3,3,6,9,9,9,9,9,9,14,14,20,24,48,48,56,56,72,73,86,101,116,125,133,137,1992
1842,6602767760,3273,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,13,13,13,13,13,23,23,23,23,23,23,23,23,2002
1844,55934640900,3274,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,1995
1845,7006616706,3275,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1990
1848,6603890506,3277,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,11,11,11,11,11,11,15,15,15,1994
1849,7003315309,3278,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,8,8,8,13,15,19,23,27,27,29,29,29,31,33,1998
1851,14026244900,328,0,2008,0,0,0,0,0,2,2,2,2,3,3,3,3,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1995
1854,7004864164,3281,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,1991
1856,55992958200,3282,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,1990
1860,7005270780,3287,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,6,12,12,31,38,42,45,52,56,62,64,71,75,76,2001
1863,6603165821,3289,0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,10,1993
1865,55971632300,329,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,15,15,15,15,15,18,18,18,18,18,18,18,2004
1868,7103014548,3292,0,2008,0,0,0,0,0,0,0,0,4,4,4,4,7,12,13,13,16,17,18,18,18,18,18,18,18,18,18,18,18,1990
1869,56216450700,3293,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,1992
1872,7006690890,3295,0,2011,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,17,17,17,17,19,20,24,44,1990
