,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
67,25823643500,1060,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,2009
68,25921290600,1061,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,2004
69,25924773800,1062,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,9,14,17,17,24,25,2008
71,25924828400,1063,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,10,18,18,18,21,23,23,23,23,23,23,42,1993
74,25927374600,1065,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,7,7,7,2008
75,25931335800,1067,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,7,7,2008
77,12777710400,107,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,2009
80,26029311400,1078,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,8,8,8,10,14,18,20,24,2007
82,26031912400,1079,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,74,74,74,1998
85,26221222600,1094,1,2014,0,0,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,12,12,12,15,15,18,25,29,29,31,31,1992
90,26530905900,1103,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,17,2008
92,26531429300,1104,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,19,19,19,2009
94,26531607300,1105,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,16,16,16,16,16,16,16,2003
