ID,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year,end_year,max_hole_size,activity,tot_pubs
6507187754,1062,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,6,6,6,6,11,11,11,2007,2016,4,9,3
25924828400,1063,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10,10,18,18,18,21,23,23,23,23,23,23,42,2003,2018,5,15,9
8627009900,1063,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,6,2014,2018,3,4,2
26029311400,1078,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,8,8,8,10,14,18,20,24,2007,2018,0,11,36
7004880357,1078,0,2013,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2000,2000,0,0,1
26530905900,1103,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,17,2016,2018,0,2,5
10039859200,1103,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2015,0,0,1
26531429300,1104,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,19,19,19,2011,2016,3,5,4
6603752955,1104,0,2006,0,0,0,0,0,0,0,8,19,19,26,26,36,40,46,63,70,71,82,86,86,86,86,86,86,86,86,86,86,1997,2009,1,12,24
26532210900,1107,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2017,2017,0,0,1
6506756471,1107,0,2011,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,8,18,18,21,21,21,2001,2016,11,15,6
26641909600,1115,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,5,2010,2018,5,8,5
7006366996,1115,0,2008,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1996,2011,6,15,5
26643351300,1127,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,21,21,22,23,23,2000,2017,10,17,10
